Periodo, Índice general total
1982/01,0.085865536
1982/02,0.089239654
1982/03,0.09249895
1982/04,0.097512044
1982/05,0.102993008
1982/06,0.107954431
1982/07,0.113517202
1982/08,0.126255879
1982/09,0.1329955
1982/10,0.139890117
1982/11,0.146962697
1982/12,0.162656416
1983/01,0.180355086
1983/02,0.190033959
1983/03,0.199232046
1983/04,0.211845861
1983/05,0.221033903
1983/06,0.229403889
1983/07,0.240746133
1983/08,0.250090607
1983/09,0.257787495
1983/10,0.266341179
1983/11,0.281983237
1983/12,0.294047381
1984/01,0.312727718
1984/02,0.329232318
1984/03,0.343304281
1984/04,0.35815555
1984/05,0.370031686
1984/06,0.383423376
1984/07,0.395992706
1984/08,0.407248839
1984/09,0.419380438
1984/10,0.434033654
1984/11,0.448929413
1984/12,0.467995815
1985/01,0.502711447
1985/02,0.523596222
1985/03,0.5438854
1985/04,0.560621062
1985/05,0.573902241
1985/06,0.588275593
1985/07,0.608762824
1985/08,0.635376852
1985/09,0.660752314
1985/10,0.685852223
1985/11,0.717495125
1985/12,0.766340131
1986/01,0.834092231
1986/02,0.871174477
1986/03,0.911666717
1986/04,0.959263111
1986/05,1.012570099
1986/06,1.077566644
1986/07,1.131332893
1986/08,1.221531243
1986/09,1.294811669
1986/10,1.368824029
1986/11,1.461304324
1986/12,1.576734626
1987/01,1.704401293
1987/02,1.82738639
1987/03,1.948152699
1987/04,2.11860646
1987/05,2.278325059
1987/06,2.443145733
1987/07,2.641021527
1987/08,2.856871549
1987/09,3.045081395
1987/10,3.298844634
1987/11,3.560511423
1987/12,4.086392459
1988/01,4.718245936
1988/02,5.11178304
1988/03,5.373547426
1988/04,5.538940737
1988/05,5.646108688
1988/06,5.761292137
1988/07,5.857456543
1988/08,5.911343343
1988/09,5.945139022
1988/10,5.990486483
1988/11,6.070654347
1988/12,6.197316386
1989/01,6.349023793
1989/02,6.435183543
1989/03,6.504944899
1989/04,6.602224445
1989/05,6.693098769
1989/06,6.774384637
1989/07,6.842148218
1989/08,6.907332776
1989/09,6.973392795
1989/10,7.076525015
1989/11,7.175855437
1989/12,7.418029579
1990/01,7.776037302
1990/02,7.952119854
1990/03,8.09230992
1990/04,8.215471549
1990/05,8.358837676
1990/06,8.542938589
1990/07,8.698734834
1990/08,8.846950442
1990/09,8.973061369
1990/10,9.102059888
1990/11,9.343723103
1990/12,9.638213954
1991/01,9.883879895
1991/02,10.05642472
1991/03,10.19983964
1991/04,10.30668755
1991/05,10.40744167
