Periodo,Índice general 
01/01/1988,4.636980106
02/01/1988,4.799511568
01/02/1988,5.041704344
02/02/1988,5.181864637
01/03/1988,5.332375151
02/03/1988,5.414721544
01/04/1988,5.526642661
02/04/1988,5.551240429
01/05/1988,5.615513439
02/05/1988,5.676704021
01/06/1988,5.739709868
02/06/1988,5.782874209
01/07/1988,5.844765201
02/07/1988,5.870150931
01/08/1988,5.908970863
02/08/1988,5.913717283
01/09/1988,5.944982419
02/09/1988,5.945298433
01/10/1988,5.973526731
02/10/1988,6.007448971
01/11/1988,6.057258403
02/11/1988,6.084051689
01/12/1988,6.176145805
02/12/1988,6.218489547
01/01/1989,6.321102251
02/01/1989,6.376946506
01/02/1989,6.425626578
02/02/1989,6.444740217
01/03/1989,6.487045105
02/03/1989,6.522840113
01/04/1989,6.589675423
02/04/1989,6.614775187
01/05/1989,6.669996739
02/05/1989,6.716202581
01/06/1989,6.763355427
02/06/1989,6.785414209
01/07/1989,6.829025113
02/07/1989,6.855271333
01/08/1989,6.897186125
02/08/1989,6.917479375
01/09/1989,6.953192531
02/09/1989,6.993593049
01/10/1989,7.060302989
02/10/1989,7.0927467
01/11/1989,7.151366693
02/11/1989,7.20034672
01/12/1989,7.327823991
02/12/1989,7.508235084
01/01/1990,7.729410887
02/01/1990,7.822663374
01/02/1990,7.914668903
02/02/1990,7.9895724
01/03/1990,8.066690583
02/03/1990,8.117932437
01/04/1990,8.180866274
02/04/1990,8.250077902
01/05/1990,8.320460852
02/05/1990,8.397217432
01/06/1990,8.510615523
02/06/1990,8.575261532
01/07/1990,8.663004504
02/07/1990,8.734466562
01/08/1990,8.824874409
02/08/1990,8.869027717
01/09/1990,8.946292509
02/09/1990,8.999831938
01/10/1990,9.077561425
02/10/1990,9.126558547
01/11/1990,9.234761065
02/11/1990,9.452685037
01/12/1990,9.579936954
02/12/1990,9.69649259
01/01/1991,9.845375375
02/01/1991,9.922384248
01/02/1991,10.02238492
02/02/1991,10.09046563
01/03/1991,10.17359014
02/03/1991,10.22609191
01/04/1991,10.2882238
02/04/1991,10.32515127
01/05/1991,10.37703863
02/05/1991,10.43784585
01/06/1991,10.50412839
02/06/1991,10.52916651
01/07/1991,10.58872263
02/07/1991,10.63044626
01/08/1991,10.6703914
02/08/1991,10.69645423
01/09/1991,10.76733814
02/09/1991,10.81236541
01/10/1991,10.87616491
02/10/1991,10.95452021
01/11/1991,11.11362059
02/11/1991,11.25912773
01/12/1991,11.3936863
02/12/1991,11.50567476
